#K-Path      Energy-Level
# NKPTS & NBANDS:  80  28
# Band-Index    1
   0.31603     -5.754507
   0.34034     -5.809420
   0.36465     -5.865501
   0.38896     -5.922105
   0.41327     -5.978671
   0.43758     -5.954465
   0.46189     -5.910980
   0.48620     -5.855993
   0.51051     -5.789584
   0.53482     -5.749889
   0.55913     -5.667196
   0.58344     -5.574497
   0.60775     -5.472974
   0.63206     -5.364133
   0.65637     -5.249631
   0.68068     -5.168999
   0.70499     -5.204606
   0.72930     -5.236956
   0.75361     -5.266006
   0.77792     -5.227431
   0.80223     -5.179123
   0.82654     -5.141484
   0.85085     -5.112975
   0.87516     -5.092246
   0.89947     -5.078215
   0.92378     -5.070110
   0.94809     -5.067457
   0.94809     -5.067457
   0.96597     -5.067249
   0.98385     -5.066223
   1.00173     -5.063188
   1.01961     -5.056393
   1.03748     -5.043870
   1.05536     -5.023930
   1.07324     -4.995534
   1.09112     -4.958367
   1.10899     -4.912682
   1.12687     -4.858998
   1.14475     -4.797942
   1.16263     -4.730138
   1.18051     -4.656181
   1.19838     -4.576626
   1.21626     -4.491991
   1.23414     -4.402763
   1.25202     -4.309402
   1.26989     -4.212338
   1.28777     -4.111989
   1.30565     -4.008746
   1.32353     -3.902986
   1.34141     -3.832130
   1.35928     -3.804350
   1.37716     -3.775617
   1.39504     -3.745977
   1.41292     -3.715468
   1.43079     -3.684135
   1.44867     -3.652023
   1.46655     -3.619183
   1.48443     -3.585667
   1.50231     -3.553645
   1.52018     -3.567780
   1.53806     -3.533031
   1.55594     -3.477151
   1.57382     -3.414006
   1.59169     -3.373592
   1.60957     -3.337027
   1.62745     -3.300358
   1.64533     -3.264414
 
 
# Band-Index   12
   1.64533     -3.264092
   1.62745     -3.271404
   1.60957     -3.303920
   1.59169     -3.347661
   1.57382     -3.409930
   1.55594     -3.445959
   1.53806     -3.481613
   1.52018     -3.516824
   1.50231     -3.551527
   1.48443     -3.529817
   1.46655     -3.560702
   1.44867     -3.591049
   1.43079     -3.620805
   1.41292     -3.649911
   1.39504     -3.678320
   1.37716     -3.705979
   1.35928     -3.732849
   1.34141     -3.795079
   1.32353     -3.858918
   1.30565     -3.884682
   1.28777     -3.909386
   1.26989     -3.933003
   1.25202     -3.955502
   1.23414     -4.007051
   1.21626     -4.094270
   1.19838     -4.179214
   1.18051     -4.261818
   1.16263     -4.342009
   1.14475     -4.419673
   1.12687     -4.494613
   1.10899     -4.566520
   1.09112     -4.634924
   1.07324     -4.699170
   1.05536     -4.758382
   1.03748     -4.811511
   1.01961     -4.857351
   1.00173     -4.894649
   0.98385     -4.922245
   0.96597     -4.939203
   0.94809     -4.944925
   0.94809     -4.944925
   0.92378     -4.943298
   0.89947     -4.938417
   0.87516     -4.930292
   0.85085     -4.918934
   0.82654     -4.904365
   0.80223     -4.886606
   0.77792     -4.865691
   0.75361     -4.841654
   0.72930     -4.887038
   0.70499     -5.009701
   0.68068     -5.131026
   0.65637     -5.193540
   0.63206     -5.311036
   0.60775     -5.422748
   0.58344     -5.527613
   0.55913     -5.624483
   0.53482     -5.712159
   0.51051     -5.750785
   0.48620     -5.706070
   0.46189     -5.660628
   0.43758     -5.614848
   0.41327     -5.569189
   0.38896     -5.524181
   0.36465     -5.480406
   0.34034     -5.438551
   0.31603     -5.399372
   0.29172     -5.363701
   0.26741     -5.332423
   0.24310     -5.306452
   0.21879     -5.286688
   0.19448     -5.273951
   0.17017     -5.268906
   0.14586     -5.272008
   0.12155     -5.283439
   0.09724     -5.303063
   0.07293     -5.330436
   0.04862     -5.364842
   0.02431     -5.405352
   0.00000     -5.450908
 
 
# Band-Index   13
   0.00000     -3.400982
   0.02431     -3.457998
   0.04862     -3.518997
   0.07293     -3.582991
   0.09724     -3.649341
   0.12155     -3.717653
   0.14586     -3.787659
   0.17017     -3.859121
   0.19448     -3.931767
   0.21879     -4.005285
   0.24310     -4.079324
   0.26741     -4.153520
   0.29172     -4.227504
   0.31603     -4.300919
   0.34034     -4.373433
   0.36465     -4.444742
   0.38896     -4.514566
   0.41327     -4.582658
   0.43758     -4.648801
   0.46189     -4.712793
   0.48620     -4.774462
   0.51051     -4.833656
   0.53482     -4.890236
   0.55913     -4.944082
   0.58344     -4.995087
   0.60775     -5.043160
   0.63206     -5.088216
   0.65637     -5.130185
   0.68068     -5.071362
   0.70499     -4.945814
   0.72930     -4.818608
   0.75361     -4.764746
   0.77792     -4.645064
   0.80223     -4.530788
   0.82654     -4.425158
   0.85085     -4.331716
   0.87516     -4.254077
   0.89947     -4.195662
   0.92378     -4.159324
   0.94809     -4.146981
   0.94809     -4.146981
   0.96597     -4.146298
   0.98385     -4.144259
   1.00173     -4.140865
   1.01961     -4.136119
   1.03748     -4.130021
   1.05536     -4.122583
   1.07324     -4.113813
   1.09112     -4.103717
   1.10899     -4.092306
   1.12687     -4.079593
   1.14475     -4.065599
   1.16263     -4.050325
   1.18051     -4.033789
   1.19838     -4.016023
   1.21626     -3.997037
   1.23414     -3.976856
   1.25202     -3.917643
   1.26989     -3.853780
   1.28777     -3.831509
   1.30565     -3.808243
   1.32353     -3.784020
   1.34141     -3.758875
   1.35928     -3.685388
   1.37716     -3.574286
   1.39504     -3.462172
   1.41292     -3.349497
   1.43079     -3.288375
   1.44867     -3.356228
   1.46655     -3.428565
   1.48443     -3.498215
   1.50231     -3.498453
   1.52018     -3.466674
   1.53806     -3.434541
   1.55594     -3.402114
   1.57382     -3.369485
   1.59169     -3.336718
   1.60957     -3.279541
   1.62745     -3.225557
   1.64533     -3.236929
 
 
# Band-Index   14
   1.64533     -3.236687
   1.62745     -3.210293
   1.60957     -3.189044
   1.59169     -3.152350
   1.57382     -3.115795
   1.55594     -3.079484
   1.53806     -3.046175
   1.52018     -3.015813
   1.50231     -2.986081
   1.48443     -2.957047
   1.46655     -3.015430
   1.44867     -3.125000
   1.43079     -3.236830
   1.41292     -3.237637
   1.39504     -3.229975
   1.37716     -3.278109
   1.35928     -3.357543
   1.34141     -3.448408
   1.32353     -3.543001
   1.30565     -3.638305
   1.28777     -3.732941
   1.26989     -3.826191
   1.25202     -3.875026
   1.23414     -3.895214
   1.21626     -3.914316
   1.19838     -3.932307
   1.18051     -3.949158
   1.16263     -3.964852
   1.14475     -3.979363
   1.12687     -3.992674
   1.10899     -4.004770
   1.09112     -4.015637
   1.07324     -4.025255
   1.05536     -4.033612
   1.03748     -4.040702
   1.01961     -4.046516
   1.00173     -4.051038
   0.98385     -4.054278
   0.96597     -4.056225
   0.94809     -4.056872
   0.94809     -4.056872
   0.92378     -4.069505
   0.89947     -4.106673
   0.87516     -4.166456
   0.85085     -4.245973
   0.82654     -4.341812
   0.80223     -4.450377
   0.77792     -4.568151
   0.75361     -4.691868
   0.72930     -4.814541
   0.70499     -4.784403
   0.68068     -4.751300
   0.65637     -4.715302
   0.63206     -4.676484
   0.60775     -4.634940
   0.58344     -4.590768
   0.55913     -4.544087
   0.53482     -4.495026
   0.51051     -4.443731
   0.48620     -4.390372
   0.46189     -4.335135
   0.43758     -4.278230
   0.41327     -4.219890
   0.38896     -4.160382
   0.36465     -4.099993
   0.34034     -4.039045
   0.31603     -3.977890
   0.29172     -3.916909
   0.26741     -3.856509
   0.24310     -3.797125
   0.21879     -3.739217
   0.19448     -3.683269
   0.17017     -3.629796
   0.14586     -3.579356
   0.12155     -3.532579
   0.09724     -3.490165
   0.07293     -3.452908
   0.04862     -3.421643
   0.02431     -3.397176
   0.00000     -3.400970
 
 
# Band-Index   15
   0.00000     -3.380178
   0.02431     -3.371045
   0.04862     -3.369904
   0.07293     -3.376522
   0.09724     -3.390403
   0.12155     -3.410850
   0.14586     -3.437021
   0.17017     -3.468001
   0.19448     -3.502825
   0.21879     -3.540534
   0.24310     -3.580183
   0.26741     -3.620838
   0.29172     -3.661589
   0.31603     -3.701527
