#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    0.10789    -8.024113    0.571
    0.07193    -8.051103    0.573
    0.03596    -8.067374    0.574
    0.00000    -8.072712    0.573

# Band-Index    6
    0.00000    -7.121378    0.126
    0.03596    -7.116757    0.126
    0.07193    -7.102361    0.126
    0.10789    -7.078218    0.128
    0.14386    -7.044701    0.129
    0.17982    -7.002426    0.130
    0.21579    -6.952155    0.132
    0.25175    -6.894409    0.135
    0.28772    -6.831026    0.138
    0.32368    -6.762753    0.142
    0.35965    -6.691856    0.146
    0.39561    -6.620741    0.153
    0.43158    -6.552710    0.158
    0.46754    -6.492142    0.167
    0.50350    -6.444859    0.176
    0.53947    -6.418119    0.188
    0.57543    -6.419897    0.201
    0.61140    -6.454445    0.210
    0.64736    -6.517640    0.203
    0.68333    -6.597989    0.174
    0.71929    -6.685345    0.133
    0.75526    -6.774505    0.096
    0.79122    -6.864011    0.067
    0.82719    -6.952597    0.050
    0.86315    -7.038790    0.038
    0.89912    -7.120718    0.030
    0.93508    -7.196459    0.026
    0.97104    -7.264179    0.022
    1.00701    -7.322153    0.019
    1.04297    -7.368911    0.019
    1.07894    -7.403242    0.017
    1.11490    -7.424223    0.017
    1.15087    -7.431308    0.017
    1.15087    -7.431308    0.017
    1.17163    -7.429533    0.017
    1.19240    -7.424211    0.017
    1.21316    -7.415284    0.017
    1.23393    -7.402812    0.017
    1.25469    -7.386803    0.017
    1.27545    -7.367300    0.017
    1.29622    -7.344356    0.017
    1.31698    -7.318015    0.017
    1.33775    -7.288349    0.017
    1.35851    -7.255417    0.018
    1.37927    -7.219322    0.018
    1.40004    -7.180132    0.018
    1.42080    -7.137971    0.018
    1.44157    -7.092968    0.018
    1.46233    -7.045292    0.018
    1.48309    -6.995176    0.019
    1.50386    -6.943195    0.021
    1.52462    -6.904769    0.518
    1.54539    -6.931677    0.673
    1.56615    -6.961362    0.686
    1.58692    -6.990638    0.693
    1.60768    -7.018794    0.700
    1.62844    -7.044733    0.704
    1.64921    -7.063762    0.703
    1.66997    -7.043718    0.664
    1.69074    -6.993241    0.635
    1.71150    -6.946549    0.508
    1.73226    -6.931206    0.086
    1.75303    -6.939181    0.018
    1.77379    -6.947359    0.010
    1.79456    -6.952730    0.007
    1.81532    -6.954598    0.007
    1.81532    -6.954598    0.007
    1.85685    -6.946666    0.007
    1.89838    -6.922143    0.010
    1.93990    -6.947237    0.681
    1.98143    -7.010151    0.691
    2.02296    -6.961930    0.709
    2.06449    -6.866586    0.692
    2.10602    -6.760504    0.600
    2.14755    -6.703623    0.154
    2.18907    -6.697947    0.064
    2.23060    -6.684653    0.060
    2.27213    -6.657650    0.071
    2.31366    -6.617645    0.095
    2.35519    -6.566089    0.132
    2.39671    -6.504000    0.184
    2.43824    -6.433760    0.232
    2.47977    -6.365349    0.251
    2.52130    -6.319626    0.232
    2.56283    -6.314809    0.206
    2.60436    -6.349076    0.188
    2.64588    -6.409758    0.174
    2.68741    -6.486359    0.164
    2.72894    -6.570937    0.156
    2.77047    -6.658079    0.149
    2.81200    -6.743673    0.143
    2.85352    -6.824828    0.139
    2.89505    -6.898868    0.135
    2.93658    -6.964439    0.132
    2.97811    -7.019906    0.130
    3.01964    -7.063965    0.129
    3.06117    -7.096068    0.126
    3.10269    -7.115333    0.126
    3.14422    -7.121378    0.126

# Band-Index    7
    3.14422    -3.834641    0.874
    3.10269    -3.840838    0.869
    3.06117    -3.892780    0.864
    3.01964    -3.979115    0.857
    2.97811    -4.090001    0.850
    2.93658    -4.224202    0.842
    2.89505    -4.377158    0.833
    2.85352    -4.547338    0.825
    2.81200    -4.725525    0.817
    2.77047    -4.909616    0.809
    2.72894    -5.095131    0.799
    2.68741    -5.277724    0.790
    2.64588    -5.451989    0.780
    2.60436    -5.611103    0.767
    2.56283    -5.743384    0.747
    2.52130    -5.833311    0.708
    2.47977    -5.870884    0.660
    2.43824    -5.865211    0.620
    2.39671    -5.834923    0.581
    2.35519    -5.807467    0.494
    2.31366    -5.922346    0.681
